instance,n,ours,kapoce,kapoce_valid,kapoce_time,ours_time
pace-heur/heur127.gr,2831,19801,19801,True,590.1,600.4
pace-heur/heur128.gr,2831,131056,131074,True,590.2,600.6
pace-heur/heur129.gr,2831,485196,485198,True,590.7,600.7
pace-heur/heur130.gr,2831,1079984,1079984,True,591.9,601.6
pace-heur/heur131.gr,2831,652019,652019,True,594.0,603.8
pace-heur/heur132.gr,2831,103299,103299,True,592.0,602.9
pace-heur/heur133.gr,2831,445,445,True,592.0,602.8
pace-heur/heur134.gr,2912,2346,2346,True,211.4,600.9
pace-heur/heur135.gr,2912,22888,22888,True,590.1,600.2
pace-heur/heur136.gr,2912,136585,136595,True,590.3,600.0
pace-heur/heur137.gr,2912,510431,510431,True,591.5,600.6
pace-heur/heur138.gr,2912,1108659,1108659,True,592.0,600.8
pace-heur/heur139.gr,2912,722787,722787,True,593.2,602.1
pace-heur/heur140.gr,2912,121476,121476,True,591.5,603.2
pace-heur/heur141.gr,2936,2080,2080,True,152.7,600.7
pace-heur/heur142.gr,2936,27462,27464,True,590.1,600.7
pace-heur/heur143.gr,2936,157201,157219,True,590.2,600.4
pace-heur/heur144.gr,2936,538583,538610,True,590.9,600.2
pace-heur/heur145.gr,2936,1094791,1094791,True,591.9,601.5
pace-heur/heur146.gr,2936,775815,775815,True,592.7,604.7
pace-heur/heur147.gr,2936,148412,148412,True,591.6,603.1
pace-heur/heur148.gr,2939,2530,2530,True,184.3,600.0
pace-heur/heur149.gr,2939,3773,3773,True,254.0,600.3
pace-heur/heur150.gr,2939,32666,32666,True,590.1,600.2
pace-heur/heur151.gr,2939,38765,38765,True,590.1,600.3
pace-heur/heur152.gr,2939,162447,162446,True,590.4,600.1
pace-heur/heur153.gr,2939,178781,178788,True,590.3,600.1
pace-heur/heur154.gr,2939,529761,529616,True,591.1,600.6
pace-heur/heur155.gr,2939,539014,538996,True,590.8,600.3
pace-heur/heur156.gr,2939,1066202,1066202,True,592.4,602.4
pace-heur/heur157.gr,2939,961446,961446,True,591.7,601.0
pace-heur/heur158.gr,2939,849223,849223,True,593.6,602.8
pace-heur/heur159.gr,2939,784235,784235,True,594.8,602.7
pace-heur/heur160.gr,2939,186102,186102,True,592.8,600.3
pace-heur/heur161.gr,2939,22268,22268,True,591.3,601.6
pace-heur/heur162.gr,3387,48083,48083,True,590.2,600.3
pace-heur/heur163.gr,3387,59141,59141,True,590.2,600.6
pace-heur/heur164.gr,3387,69755,69755,True,590.2,600.1
pace-heur/heur165.gr,3387,314327,314327,True,590.7,600.9
pace-heur/heur166.gr,4039,53547,53547,True,590.1,600.2
pace-heur/heur167.gr,5242,6050,6050,True,399.3,600.1
pace-heur/heur168.gr,6301,18495,18494,True,590.1,600.3
pace-heur/heur169.gr,6474,11273,11273,True,501.9,600.0
pace-heur/heur170.gr,8114,23196,23196,True,590.0,600.3
pace-heur/heur171.gr,8717,27888,27888,True,590.1,601.0
pace-heur/heur172.gr,8846,28140,28140,True,590.0,600.2
pace-heur/heur173.gr,9877,15813,15814,True,590.1,600.1
pace-heur/heur174.gr,10876,35344,35344,True,590.1,600.3
pace-heur/heur175.gr,12008,46133,46133,True,590.1,600.7
pace-heur/heur176.gr,18772,125542,125554,True,590.2,600.2
pace-heur/heur177.gr,22687,48404,48404,True,590.2,600.4
pace-heur/heur178.gr,23133,56834,56834,True,590.1,600.3
pace-heur/heur179.gr,36692,150427,150465,True,590.2,600.0
pace-heur/heur180.gr,75879,365146,365225,True,590.9,606.0
pace-heur/heur181.gr,77351,305739,305753,True,590.5,600.8
pace-heur/heur182.gr,77360,438161,438173,True,590.8,601.1
pace-heur/heur183.gr,81306,1068169,1068266,True,591.6,600.7
pace-heur/heur184.gr,81868,323224,323231,True,590.6,600.6
pace-heur/heur185.gr,82141,325086,325070,True,590.6,600.0
pace-heur/heur186.gr,82168,470773,470766,True,590.9,601.8
pace-heur/heur187.gr,131829,463306,463348,True,590.8,600.2
pace-heur/heur188.gr,196591,788561,788574,True,591.3,604.3
pace-heur/heur189.gr,262111,540847,540839,True,591.3,600.2
pace-heur/heur190.gr,281903,1673836,1674671,True,592.6,602.1
pace-heur/heur191.gr,317080,606736,606731,True,591.4,600.5
pace-heur/heur192.gr,325729,733799,733713,True,591.6,600.7
pace-heur/heur193.gr,334863,612331,612312,True,592.0,600.4
pace-heur/heur194.gr,400727,1588420,1588451,True,593.9,600.6
pace-heur/heur195.gr,403394,1647197,1647255,True,593.1,602.0
pace-heur/heur196.gr,410236,1648433,1648530,True,593.2,602.4
pace-heur/heur197.gr,1088092,945446,944536,True,592.7,602.0
pace-heur/heur198.gr,1134890,2649817,2649308,True,595.8,603.9
pace-heur/heur199.gr,1379917,1166154,1164824,True,593.3,600.7
