instance,n,m,algo,seed,cost,lb,time,error
pace-exact/exact005.gr,20,97,vote,2,46,,8.130073547363281e-05,
pace-exact/exact005.gr,20,97,louvain,0,48,,0.00036525726318359375,
pace-exact/exact005.gr,20,97,louvain,1,48,,0.00032520294189453125,
pace-exact/exact005.gr,20,97,louvain,2,46,,0.0003154277801513672,
pace-exact/exact005.gr,20,97,vote,0,48,,0.6658046245574951,
pace-exact/exact005.gr,20,97,leiden,0,46,,0.8499059677124023,
pace-exact/exact005.gr,20,97,leiden,2,46,,0.0010805130004882812,
pace-exact/exact005.gr,20,97,mfp,0,101,,0.03907060623168945,
pace-exact/exact005.gr,20,97,mfp,1,86,,0.0006899833679199219,
pace-exact/exact005.gr,20,97,mfp,2,86,,0.000659942626953125,
pace-exact/exact005.gr,20,97,leiden,1,46,,0.8190674781799316,
pace-exact/exact005.gr,20,97,ins,0,46,,0.0007030963897705078,
pace-exact/exact005.gr,20,97,ins,2,46,,0.0006968975067138672,
pace-exact/exact005.gr,20,97,flip,0,46,,0.012370824813842773,
pace-exact/exact005.gr,20,97,flip,1,46,,0.01267695426940918,
pace-exact/exact005.gr,20,97,ins,1,46,,0.030637741088867188,
pace-exact/exact005.gr,20,97,flip,2,46,,0.012831926345825195,
pace-exact/exact005.gr,20,97,certiflip,0,46,45.0,0.4365425109863281,
pace-exact/exact005.gr,20,97,lb:greedy,0,,32.0,0.007813692092895508,
pace-exact/exact005.gr,20,97,lb:tri-mwu,0,,43.232394366197184,0.02380990982055664,
pace-exact/exact006.gr,20,113,pivot,0,9,,0.00010228157043457031,
pace-exact/exact006.gr,20,113,pivot,1,37,,7.319450378417969e-05,
pace-exact/exact006.gr,20,113,pivot,2,9,,4.553794860839844e-05,
pace-exact/exact006.gr,20,113,pivot50,0,9,,0.001018524169921875,
pace-exact/exact006.gr,20,113,pivot50,1,9,,0.00098419189453125,
pace-exact/exact006.gr,20,113,pivot50,2,9,,0.001371145248413086,
pace-exact/exact006.gr,20,113,vote,0,9,,0.00010013580322265625,
pace-exact/exact006.gr,20,113,vote,1,9,,0.00011014938354492188,
pace-exact/exact006.gr,20,113,vote,2,9,,9.751319885253906e-05,
pace-exact/exact006.gr,20,113,louvain,0,9,,0.0003097057342529297,
pace-exact/exact006.gr,20,113,louvain,1,9,,0.0003008842468261719,
pace-exact/exact006.gr,20,113,louvain,2,9,,0.0003230571746826172,
pace-exact/exact006.gr,20,113,leiden,0,9,,0.0012423992156982422,
pace-exact/exact006.gr,20,113,leiden,1,9,,0.0012161731719970703,
pace-exact/exact004.gr,20,75,kapoce,0,32,,2.5084946155548096,
pace-exact/exact006.gr,20,113,mfp,0,9,,0.012386322021484375,
pace-exact/exact006.gr,20,113,mfp,1,41,,0.0009388923645019531,
pace-exact/exact006.gr,20,113,mfp,2,28,,0.0008833408355712891,
pace-exact/exact006.gr,20,113,ins,0,9,,0.03368401527404785,
pace-exact/exact006.gr,20,113,ins,1,9,,0.0007104873657226562,
pace-exact/exact006.gr,20,113,ins,2,9,,0.00031757354736328125,
pace-exact/exact006.gr,20,113,flip,0,9,,0.014672279357910156,
pace-exact/exact006.gr,20,113,flip,1,9,,0.015021562576293945,
pace-exact/exact006.gr,20,113,flip,2,9,,0.011234283447265625,
pace-exact/exact006.gr,20,113,certiflip,0,9,9.0,0.1932823657989502,
pace-exact/exact003.gr,20,73,kapoce,0,42,,3.097562074661255,
pace-exact/exact006.gr,20,113,lb:greedy,0,,9.0,0.011695384979248047,
pace-exact/exact006.gr,20,113,lb:tri-mwu,0,,9.0,0.02445244789123535,
pace-exact/exact007.gr,30,147,pivot,0,137,,0.00010466575622558594,
pace-exact/exact007.gr,30,147,pivot,1,113,,4.4345855712890625e-05,
pace-exact/exact007.gr,30,147,pivot,2,116,,3.910064697265625e-05,
pace-exact/exact007.gr,30,147,pivot50,0,99,,0.001295328140258789,
pace-exact/exact007.gr,30,147,pivot50,1,96,,0.0010802745819091797,
pace-exact/exact007.gr,30,147,pivot50,2,98,,0.707571268081665,
pace-exact/exact007.gr,30,147,vote,0,89,,0.008456230163574219,
pace-exact/exact007.gr,30,147,vote,1,89,,0.00013375282287597656,
pace-exact/exact007.gr,30,147,vote,2,88,,0.0001239776611328125,
pace-exact/exact007.gr,30,147,louvain,0,86,,0.015548944473266602,
pace-exact/exact007.gr,30,147,louvain,1,86,,0.000423431396484375,
pace-exact/exact007.gr,30,147,louvain,2,88,,0.0003476142883300781,
pace-exact/exact006.gr,20,113,leiden,2,9,,0.8377926349639893,
pace-exact/exact007.gr,30,147,leiden,1,86,,0.0063190460205078125,
pace-exact/exact007.gr,30,147,leiden,2,91,,0.0022983551025390625,
pace-exact/exact007.gr,30,147,mfp,0,191,,0.04202914237976074,
pace-exact/exact007.gr,30,147,mfp,1,149,,0.0008325576782226562,
pace-exact/exact007.gr,30,147,mfp,2,155,,0.0008313655853271484,
pace-exact/exact007.gr,30,147,ins,0,86,,0.03314852714538574,
pace-exact/exact007.gr,30,147,ins,1,86,,0.0008580684661865234,
pace-exact/exact007.gr,30,147,ins,2,86,,0.0009770393371582031,
pace-exact/exact007.gr,30,147,flip,0,86,,0.03238081932067871,
pace-exact/exact007.gr,30,147,flip,1,86,,0.032967567443847656,
pace-exact/exact007.gr,30,147,flip,2,86,,0.032611846923828125,
pace-exact/exact005.gr,20,97,kapoce,0,46,,2.5866453647613525,
pace-exact/exact007.gr,30,147,leiden,0,88,,0.8458478450775146,
pace-exact/exact007.gr,30,147,lb:greedy,0,,63.0,0.029769420623779297,
pace-exact/exact007.gr,30,147,lb:tri-mwu,0,,73.04059040590406,0.020624399185180664,
pace-exact/exact008.gr,30,172,pivot,0,110,,8.320808410644531e-05,
pace-exact/exact008.gr,30,172,pivot,1,113,,5.078315734863281e-05,
pace-exact/exact008.gr,30,172,pivot,2,135,,5.1975250244140625e-05,
pace-exact/exact008.gr,30,172,pivot50,0,92,,0.0010938644409179688,
pace-exact/exact008.gr,30,172,pivot50,1,94,,0.0010538101196289062,
pace-exact/exact008.gr,30,172,pivot50,2,96,,0.009185075759887695,
pace-exact/exact008.gr,30,172,vote,0,81,,0.00011587142944335938,
pace-exact/exact008.gr,30,172,vote,1,81,,9.274482727050781e-05,
pace-exact/exact008.gr,30,172,vote,2,81,,0.00011181831359863281,
pace-exact/exact008.gr,30,172,louvain,0,81,,0.00037288665771484375,
pace-exact/exact008.gr,30,172,louvain,1,81,,0.7440307140350342,
pace-exact/exact008.gr,30,172,louvain,2,81,,0.00047469139099121094,
pace-exact/exact006.gr,20,113,kapoce,0,9,,2.8586478233337402,
pace-exact/exact008.gr,30,172,leiden,1,81,,0.0018055438995361328,
pace-exact/exact008.gr,30,172,leiden,2,81,,0.00601506233215332,
pace-exact/exact008.gr,30,172,mfp,0,199,,0.0010652542114257812,
pace-exact/exact008.gr,30,172,mfp,1,168,,0.01714491844177246,
pace-exact/exact008.gr,30,172,mfp,2,174,,0.0010118484497070312,
pace-exact/exact008.gr,30,172,leiden,0,81,,0.8030064105987549,
pace-exact/exact008.gr,30,172,ins,1,81,,0.028022050857543945,
pace-exact/exact008.gr,30,172,ins,2,81,,0.0009057521820068359,
