instance,n,m,algo,seed,cost,lb,time,error
ca-CondMat,23133.0,93439.0,pivot50,0,80134.0,,0.2339787483215332,
ca-CondMat,23133.0,93439.0,pivot50,1,80692.0,,0.2241055965423584,
ca-CondMat,23133.0,93439.0,pivot50,2,81839.0,,0.2075257301330566,
ca-CondMat,23133.0,93439.0,vote,0,57989.0,,0.0115091800689697,
ca-CondMat,23133.0,93439.0,vote,1,57856.0,,0.0108013153076171,
ca-CondMat,23133.0,93439.0,vote,2,58000.0,,0.0111558437347412,
ca-CondMat,23133.0,93439.0,louvain,0,57777.0,,0.0861389636993408,
ca-CondMat,23133.0,93439.0,louvain,1,57670.0,,0.0833292007446289,
ca-CondMat,23133.0,93439.0,louvain,2,57806.0,,0.080841064453125,
ca-CondMat,23133.0,93439.0,leiden,0,57611.0,,17.318541526794434,
ca-CondMat,23133.0,93439.0,leiden,1,57729.0,,10.14601707458496,
ca-CondMat,23133.0,93439.0,leiden,2,57679.0,,11.314099550247192,
ca-CondMat,23133.0,93439.0,mfp,0,110761.0,,0.3676223754882812,
ca-CondMat,23133.0,93439.0,mfp,1,110751.0,,0.7601780891418457,
ca-CondMat,23133.0,93439.0,mfp,2,110811.0,,0.2936990261077881,
ca-CondMat,23133.0,93439.0,ins,0,57050.0,,0.4394900798797607,
ca-CondMat,23133.0,93439.0,ins,1,57058.0,,0.4795510768890381,
ca-CondMat,23133.0,93439.0,ins,2,57080.0,,0.440248966217041,
ca-CondMat,23133.0,93439.0,flip,0,57000.0,,10.709207773208618,
ca-CondMat,23133.0,93439.0,flip,1,57011.0,,10.332913875579834,
ca-CondMat,23133.0,93439.0,flip,2,56998.0,,10.50634789466858,
ca-AstroPh,18772.0,198050.0,kapoce,0,125559.0,,590.5343115329742,
ca-CondMat,23133.0,93439.0,lb:greedy,0,,39380.0,0.2370274066925048,
ca-CondMat,23133.0,93439.0,lb:tri-mwu,0,,39703.83802816901,3.158156633377075,
email-Enron,36692.0,183831.0,pivot,0,220065.0,,0.0020687580108642,
email-Enron,36692.0,183831.0,pivot,1,192960.0,,0.0014948844909667,
email-Enron,36692.0,183831.0,pivot,2,215500.0,,0.3433592319488525,
email-Enron,36692.0,183831.0,pivot50,0,187245.0,,0.3678829669952392,
email-Enron,36692.0,183831.0,pivot50,1,185792.0,,0.320275068283081,
email-Enron,36692.0,183831.0,pivot50,2,185219.0,,0.319319486618042,
email-Enron,36692.0,183831.0,vote,0,151761.0,,0.0343368053436279,
email-Enron,36692.0,183831.0,vote,1,151846.0,,0.0315945148468017,
email-Enron,36692.0,183831.0,vote,2,151857.0,,0.0332908630371093,
email-Enron,36692.0,183831.0,louvain,0,151611.0,,0.2076327800750732,
email-Enron,36692.0,183831.0,louvain,1,151664.0,,0.1915030479431152,
email-Enron,36692.0,183831.0,louvain,2,151672.0,,0.1772747039794922,
email-Enron,36692.0,183831.0,leiden,0,152087.0,,12.065128087997437,
email-Enron,36692.0,183831.0,leiden,1,151626.0,,33.90803360939026,
email-Enron,36692.0,183831.0,mfp,0,215996.0,,4.752830505371094,
email-Enron,36692.0,183831.0,mfp,1,214677.0,,4.154739618301392,
email-Enron,36692.0,183831.0,mfp,2,227676.0,,4.431782484054565,
email-Enron,36692.0,183831.0,ins,0,150906.0,,1.89158034324646,
email-Enron,36692.0,183831.0,ins,1,150974.0,,1.7711915969848633,
email-Enron,36692.0,183831.0,ins,2,150934.0,,1.7600243091583252,
email-Enron,36692.0,183831.0,leiden,2,151561.0,,25.52735662460327,
email-Enron,36692.0,183831.0,flip,0,150718.0,,33.960145473480225,
email-Enron,36692.0,183831.0,flip,1,150698.0,,37.22543978691101,
email-Enron,36692.0,183831.0,flip,2,150731.0,,36.42642617225647,
ca-CondMat,23133.0,93439.0,kapoce,0,56835.0,,590.2430031299591,
email-Enron,36692.0,183831.0,lb:greedy,0,,85082.0,3.5602362155914307,
email-Enron,36692.0,183831.0,lb:tri-mwu,0,,83056.13732394367,64.63238215446472,
loc-Brightkite,58228.0,214078.0,pivot,0,253801.0,,0.0028059482574462,
loc-Brightkite,58228.0,214078.0,pivot,1,245496.0,,0.002371072769165,
loc-Brightkite,58228.0,214078.0,pivot,2,248495.0,,0.0022358894348144,
loc-Brightkite,58228.0,214078.0,pivot50,0,238226.0,,0.6250510215759277,
loc-Brightkite,58228.0,214078.0,pivot50,1,239863.0,,0.5539207458496094,
loc-Brightkite,58228.0,214078.0,pivot50,2,236081.0,,0.9043595790863036,
loc-Brightkite,58228.0,214078.0,vote,0,178209.0,,0.0420958995819091,
loc-Brightkite,58228.0,214078.0,vote,1,178077.0,,0.0437879562377929,
loc-Brightkite,58228.0,214078.0,vote,2,178103.0,,0.0321161746978759,
loc-Brightkite,58228.0,214078.0,louvain,0,177791.0,,0.2693731784820556,
loc-Brightkite,58228.0,214078.0,louvain,1,177853.0,,0.2394499778747558,
loc-Brightkite,58228.0,214078.0,louvain,2,177773.0,,0.2399153709411621,
loc-Brightkite,58228.0,214078.0,leiden,0,177755.0,,37.390974044799805,
loc-Brightkite,58228.0,214078.0,leiden,1,177730.0,,55.72076725959778,
loc-Brightkite,58228.0,214078.0,leiden,2,177915.0,,58.29509258270264,
loc-Brightkite,58228.0,214078.0,mfp,0,257088.0,,2.685136079788208,
loc-Brightkite,58228.0,214078.0,mfp,1,269314.0,,2.4319865703582764,
loc-Brightkite,58228.0,214078.0,mfp,2,261471.0,,2.389643430709839,
loc-Brightkite,58228.0,214078.0,ins,0,175747.0,,2.086621046066284,
loc-Brightkite,58228.0,214078.0,ins,1,175763.0,,2.0784780979156494,
loc-Brightkite,58228.0,214078.0,ins,2,175734.0,,1.9610393047332764,
loc-Brightkite,58228.0,214078.0,flip,0,175117.0,,39.27600002288818,
email-Enron,36692.0,183831.0,kapoce,0,150430.0,,590.5635402202606,
loc-Brightkite,58228.0,214078.0,flip,1,175112.0,,37.18794822692871,
loc-Brightkite,58228.0,214078.0,flip,2,175103.0,,39.85734009742737,
loc-Brightkite,58228.0,214078.0,lb:greedy,0,,102317.0,2.11847186088562,
loc-Brightkite,58228.0,214078.0,lb:tri-mwu,0,,100658.18661971833,33.48005819320679,
soc-Epinions,75879.0,405740.0,pivot,0,519682.0,,0.0051929950714111,
soc-Epinions,75879.0,405740.0,pivot,1,496495.0,,0.0040314197540283,
soc-Epinions,75879.0,405740.0,pivot,2,498225.0,,0.0042967796325683,
soc-Epinions,75879.0,405740.0,pivot50,0,472444.0,,1.18615984916687,
soc-Epinions,75879.0,405740.0,pivot50,1,469475.0,,0.8321328163146973,
soc-Epinions,75879.0,405740.0,pivot50,2,470607.0,,0.7792048454284668,
soc-Epinions,75879.0,405740.0,vote,0,368411.0,,0.0810992717742919,
soc-Epinions,75879.0,405740.0,vote,1,368339.0,,0.0738930702209472,
soc-Epinions,75879.0,405740.0,vote,2,368488.0,,0.0779852867126464,
